epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.7049,0.95409,2.26538,1.19595,0.64634,0.57143,0.56658,0.421,0.94222,3.49681,1.10105,6e-05,6e-05,6e-05
2,166.305,0.87405,0.95783,1.06123,0.76743,0.94676,0.93278,0.69045,1.11114,2.86399,1.1354,0.000138614,0.000138614,0.000138614
3,241.894,0.97451,0.9014,1.08999,0.51025,1,0.933,0.6902,1.05508,5.12369,1.02342,0.000215644,0.000215644,0.000215644
4,323.417,1.07486,0.97636,1.1421,0.6352,0.85714,0.73033,0.47211,1.16574,2.35819,1.16052,0.00029109,0.00029109,0.00029109
5,403.819,0.99547,1.10368,1.07326,0.41696,0.81941,0.824,0.58782,1.37431,8.33734,1.19399,0.000364952,0.000364952,0.000364952
6,480.431,0.99538,1.00753,1.10766,0.41117,0.71429,0.70193,0.48312,1.27274,5.97064,1.16115,0.00043723,0.00043723,0.00043723
7,557.028,0.99164,0.76745,1.09802,0.19167,0.85714,0.7926,0.55442,1.12662,9.12816,1.46301,0.000507924,0.000507924,0.000507924
8,637.881,1.05321,0.91269,1.19121,0.11094,0.28571,0.07401,0.04698,1.32895,8.05867,1.92663,0.000577034,0.000577034,0.000577034
9,714.486,1.07331,0.97466,1.16421,0.14907,0.57143,0.11091,0.06005,1.53222,10.5129,2.13623,0.00064456,0.00064456,0.00064456
10,785.51,1.15546,0.88254,1.19876,0.43967,0.57143,0.6018,0.34536,1.51791,7.37379,1.75935,0.000710502,0.000710502,0.000710502
11,859.625,1.08569,0.86516,1.16878,0.53463,0.85714,0.72646,0.37184,1.58646,5.30135,2.02875,0.00077486,0.00077486,0.00077486
12,932.905,1.25249,0.96743,1.18632,0.3864,0.42857,0.46749,0.29751,1.38125,5.65736,2.37368,0.000837634,0.000837634,0.000837634
13,1010.51,0.99225,0.93301,1.12301,0.28326,0.85714,0.78687,0.47134,1.39918,7.75556,2.08659,0.000898824,0.000898824,0.000898824
14,1083.81,0.96145,0.96735,1.10907,0.69223,0.71429,0.66781,0.36927,1.78632,2.94821,2.19347,0.00095843,0.00095843,0.00095843
15,1159.49,1.11408,1.12873,1.16329,0.45338,0.71429,0.71344,0.29296,2.3096,5.55097,2.8838,0.00101645,0.00101645,0.00101645
16,1232.06,1.13773,0.91315,1.18403,0.45338,0.71429,0.71344,0.29296,2.3096,5.55097,2.8838,0.00107289,0.00107289,0.00107289
17,1307.39,1.2499,0.88115,1.20221,0.38939,0.71429,0.66939,0.44163,1.95834,9.39534,3.16289,0.00112774,0.00112774,0.00112774
18,1382.16,1.17851,0.92632,1.25047,0.37429,0.71429,0.62317,0.34831,2.121,7.98057,2.63756,0.00118101,0.00118101,0.00118101
19,1457.1,1.17405,0.95646,1.17153,0.37429,0.71429,0.62317,0.34831,2.121,7.98057,2.63756,0.0012327,0.0012327,0.0012327
20,1529.84,1.1647,0.96946,1.19827,0.28243,0.28571,0.3311,0.21136,2.05629,6.35609,2.6981,0.0012828,0.0012828,0.0012828
